EventId,EventTemplate
bbb51b95,"{
    ""Receiving block"": {
        ""Event Subject"": ""block of data"",
        ""Event Action Description"": ""Receive or transfer data block from source path to destination path"",
        ""Event Result"": ""Receive or transfer data block"",
        ""Events Result Type"": ""no obvious abnormalities""
    }
}"
3d91fa85,"{
    ""BLOCK* NameSystem.allocateBlock"": {
        ""Event Subject"": ""block allocation process"",
        ""Event Action Description"": ""Allocate a block in the NameSystem"",
        ""Event Result"": ""Block allocation"",
        ""Event Result Type"": ""no obvious abnormalities""
    }
}"
d38aa58d,"{
    ""PacketResponder <*> for block <*> <*>"": {
        ""Event Subject"": ""PacketResponder component"",
        ""Event Action Description"": ""Handle packets for a specific block"",
        ""Event Result"": ""Handle packets"",
        ""Event Result Type"": ""no obvious abnormalities""
    }
}"
46003790,"{
    ""Received block <*> of size <*> from /<*>"": {
        ""Event Subject"": ""received block of data"",
        ""Event Action Description"": ""Receive a block of data from a source path"",
        ""Event Result"": ""Receive a block"",
        ""Event Result Type"": ""no obvious abnormalities""
    }
}"
5d5de21c,"{
    ""BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>"": {
        ""Event Subject"": ""stored block"",
        ""Event Action Description"": ""Add a stored block to the block map"",
        ""Event Result"": ""Add block"",
        ""Event Result Type"": ""no obvious abnormalities""
    }
}"
44614d71,"{
    ""Received block <*> src: /<*> dest: /<*> of size <*>"": {
        ""Event Subject"": ""received block of data"",
        ""Event Action Description"": ""Receive a block of data from a source path and store it"",
        ""Event Result"": ""Receive a block"",
        ""Event Result Type"": ""no obvious abnormalities""
    }
}"
9c784e29,"{
    ""<*>:Transmitted block <*> to /<*>"": {
        ""Event Subject"": ""transmitted block of data"",
        ""Event Action Description"": ""Transmit a block of data with a specific ID"",
        ""Event Result"": ""Transmit a block"",
        ""Event Result Type"": ""no obvious abnormalities""
    }
}"
75627efd,"{
    ""<*> Starting thread to transfer block <*> to <*>, <*>"": {
        ""Event Subject"": ""thread for transferring a block of data"",
        ""Event Action Description"": ""Start a thread to transfer a block of data"",
        ""Event Result"": ""Transfer a block"",
        ""Event Result Type"": ""no obvious abnormalities""
    }
}"
54e5f6b4,"{
    ""BLOCK* ask <*> to replicate <*> to datanode(s) <*> <*>"": {
        ""Event Subject"": ""replication of a block of data"",
        ""Event Action Description"": ""Request to replicate a block with a specific ID"",
        ""Event Result"": ""Request to replicate a block"",
        ""Event Result Type"": ""no obvious abnormalities""
    }
}"
4dec0816,"{
    ""<*> Served block <*> to /<*>"": {
        ""Event Subject"": ""served block"",
        ""Event Action Description"": ""Successfully serve or deliver a block with a specific ID"",
        ""Event Result"": ""Serve or deliver a block"",
        ""Event Result Type"": ""no obvious abnormalities""
    }
}"
728076ac,"{
    ""BLOCK* ask <*> to replicate <*> to datanode(s) <*>"": {
        ""Event Subject"": ""replication of a block of data"",
        ""Event Action Description"": ""Request to replicate a block with a specific ID to destination datanodes"",
        ""Event Result"": ""Request to replicate a block"",
        ""Event Result Type"": ""no obvious abnormalities""
    }
}"
40651754,"{
    ""<*> Starting thread to transfer block <*> to <*>"": {
        ""Event Subject"": ""thread for transferring a block of data"",
        ""Event Action Description"": ""Start a thread to transfer a block of data with a specific ID"",
        ""Event Result"": ""Start a thread to transfer a block"",
        ""Event Result Type"": ""no obvious abnormalities""
    }
}"
